year,utilityNumber,utilityName,state,part,serviceType,dataType,ownership,baCode,resRev,resSales,resCust,resPrice,comRev,comSales,comCust,comPrice,indRev,indSales,indCust,indPrice,transRev,transSales,transCust,transPrice,totalRev,totalSales,totalCust,totalPrice
2003,8570,Highline Electric Assn,CO,A,Bundled,O,Cooperative,,3543,45019,4789,7.87,3335,53781,1067,6.2,14865,243491,1933,6.1,0,0,0,,21743,342291,7789,6.35
2003,6418,Town of Fleming,CO,A,Bundled,O,Municipal,,146,1415,188,10.32,30,942,38,3.18,0,0,0,,0,0,0,,176,2357,226,7.47
2003,6610,City of Fort Morgan,CO,A,Bundled,O,Municipal,,2611,46508,4898,5.61,3097,51515,1010,6.01,6008,118705,8,5.06,0,0,0,,11716,216728,5916,5.41
2003,6604,Fort Collins City of,CO,A,Bundled,O,Municipal,,26816,433488,52036,6.19,25160,462099,6239,5.44,17259,434494,16,3.97,0,0,0,,69235,1330081,58291,5.21
2003,5997,Town of Estes Park,CO,A,Bundled,O,Municipal,,4079,57527,7699,7.09,3846,60342,1649,6.37,0,0,0,,0,0,0,,7925,117869,9348,6.72
2003,7478,Town of Granada,CO,A,Bundled,O,Municipal,,212,3101,259,6.84,40,54,29,74.07,0,0,0,,0,0,0,,252,3155,288,7.99
2003,7300,Glenwood Springs City of,CO,A,Bundled,O,Municipal,,2348,30980,4282,7.58,5579,76555,1349,7.29,,,,,,,,,7927,107535,5631,7.37
2003,6752,Town of Frederick,CO,A,Bundled,O,Municipal,,1650,18406,2146,8.96,1407,19452,567,7.23,430,5196,112,8.28,0,0,0,,3487,43054,2825,8.1
2003,6638,City of Fountain,CO,A,Bundled,O,Municipal,,7139,101392,12428,7.04,2735,27952,844,9.78,3078,57035,32,5.4,0,0,0,,12952,186379,13304,6.95
2003,11187,City of Longmont,CO,A,Bundled,O,Municipal,,15787,263784,32283,5.98,15023,328097,4115,4.58,5361,138843,9,3.86,0,0,0,,36171,730724,36407,4.95
2003,11256,City of Loveland,CO,A,Bundled,O,Municipal,,11642,200019,24487,5.82,3618,71031,3137,5.09,11557,286786,222,4.03,0,0,0,,26817,557836,27846,4.81
2003,10730,Las Animas City of,CO,A,Bundled,O,Municipal,,771,9487,1425,8.13,1345,19100,544,7.04,10,127,3,7.87,0,0,0,,2126,28714,1972,7.4
2003,11376,Town of Lyons,CO,A,Bundled,O,Municipal,,455,5894,931,7.72,219,3562,134,6.15,0,0,0,,0,0,0,,674,9456,1065,7.13
2003,9928,City of Julesburg,CO,A,Bundled,O,Municipal,,377,4625,700,8.15,442,5773,151,7.66,0,0,0,,0,0,0,,819,10398,851,7.88
2003,9336,Intermountain Rural Elec Assn,CO,A,Bundled,O,Cooperative,,93252,1125014,106627,8.29,38135,511511,8998,7.46,5698,92585,33,6.15,0,0,0,,137085,1729110,115658,7.93
2003,10539,"La Plata Electric Assn, Inc",CO,A,Bundled,O,Cooperative,,21871,223882,29592,9.77,19850,218740,5017,9.07,22717,471518,10,4.82,0,0,0,,64438,914140,34619,7.05
2003,10536,City of La Junta,CO,A,Bundled,O,Municipal,,1707,19165,2603,8.91,1266,12343,1022,10.26,2976,38819,69,7.67,,,,,5949,70327,3694,8.46
2003,10633,City of Lamar,CO,A,Bundled,O,Municipal,,3032,33385,4370,9.08,4302,53918,1497,7.98,241,2705,6,8.91,0,0,0,,7575,90008,5873,8.42
2003,10066,K C Electric Assn,CO,A,Bundled,O,Cooperative,,3169,36972,3249,8.57,4332,62169,2318,6.97,6116,94820,683,6.45,0,0,0,,13617,193961,6250,7.02
2003,2550,City of Burlington,CO,A,Bundled,O,Municipal,,933,10399,1338,8.97,508,4414,200,11.51,1184,14917,90,7.94,0,0,0,,2625,29730,1628,8.83
